strategy,fold,score
partner_a,1,0.4699509626784757
partner_a,2,0.5380855532923382
partner_a,3,0.41334996261433987
partner_a,4,0.49029859968338285
partner_a,5,0.49223599468483337
partner_b,1,0.29842591607560887
partner_b,2,0.5760208071652325
partner_b,3,0.27846933828973786
partner_b,4,0.5831131660437304
partner_b,5,0.4492415043599355
